gesture,skin_color,icon
peace,default,✌️
peace,veryLight,✌🏻
peace,light,✌🏼
peace,medium,✌🏽
peace,dark,✌🏾
peace,veryDark,✌🏿
like,default,👍
like,veryLight,👍🏻
like,light,👍🏼
like,medium,👍🏽
like,dark,👍🏾
like,veryDark,👍🏿
dislike,default,👎
dislike,veryLight,👎🏻
dislike,light,👎🏼
dislike,medium,👎🏽
dislike,dark,👎🏾
dislike,veryDark,👎🏿
hand-up,default,✋
hand-up,veryLight,✋🏻
hand-up,light,✋🏼
hand-up,medium,✋🏽
hand-up,dark,✋🏾
hand-up,veryDark,✋🏿
okay,default,👌
okay,veryLight,👌🏻
okay,light,👌🏼
okay,medium,👌🏽
okay,dark,👌🏾
okay,veryDark,👌🏿
fist,default,✊
fist,veryLight,✊🏻
fist,light,✊🏼
fist,medium,✊🏽
fist,dark,✊🏾
fist,veryDark,✊🏿
one,default,☝️
one,veryLight,☝🏻
one,light,☝🏼
one,medium,☝🏽
one,dark,☝🏾
one,veryDark,☝🏿
hand-phone,default,🤙
hand-phone,veryLight,🤙🏻
hand-phone,light,🤙🏼
hand-phone,medium,🤙🏽
hand-phone,dark,🤙🏾
hand-phone,veryDark,🤙🏿
fingers-crossed,default,🤞
fingers-crossed,veryLight,🤞🏻
fingers-crossed,light,🤞🏼
fingers-crossed,medium,🤞🏽
fingers-crossed,dark,🤞🏾
fingers-crossed,veryDark,🤞🏿
rock-n-roll,default,🤟
rock-n-roll,veryLight,🤘🏻
rock-n-roll,light,🤘🏼
rock-n-roll,medium,🤘🏽
rock-n-roll,dark,🤘🏾
rock-n-roll,veryDark,🤘🏿
wave,default,👋
wave,veryLight,👋🏻
wave,light,👋🏼
wave,medium,👋🏽
wave,dark,👋🏾
wave,veryDark, 👋🏿
heart,default, 🫶
heart,veryLight, 🫶🏻
heart,light, 🫶🏼
heart,medium, 🫶🏽
heart,dark, 🫶🏾
heart,veryDark, 🫶🏿
vulcan,default,🖖
vulcan,veryLight,🖖🏻
vulcan,light,🖖🏼
vulcan,medium,🖖🏽
vulcan,dark,🖖🏾
vulcan,veryDark,🖖🏿
finger-heart,default,🫰
finger-heart,veryLight,🫰🏻
finger-heart,light,🫰🏼
finger-heart,medium,🫰🏽
finger-heart,dark,🫰🏾
finger-heart,veryDark,🫰🏿
middle-finger,default,🖕
middle-finger,veryLight,🖕🏻
middle-finger,light,🖕🏼
middle-finger,medium,🖕🏽
middle-finger,dark,🖕🏾
middle-finger,veryDark,🖕🏿
top,default,👆
top,veryLight,👆🏻
top,light,👆🏼
top,medium,👆🏽
top,dark,👆🏾
top,veryDark,👆🏿
palms-up,default,🤲
palms-up,veryLight,🤲🏻
palms-up,light,🤲🏼
palms-up,medium,🤲🏽
palms-up,dark,🤲🏾
palms-up,veryDark,🤲🏿
open,default,👐
open,veryLight,👐🏻
open,light,👐🏼
open,medium,👐🏽
open,dark,👐🏾
open,veryDark,👐🏿
raising,default,🙌
raising,veryLight,🙌🏻
raising,light,🙌🏼
raising,medium,🙌🏽
raising,dark,🙌🏾
raising,veryDark,🙌🏿
clapping,default,👏
clapping,veryLight,👏🏻
clapping,light,👏🏼
clapping,medium,👏🏽
clapping,dark,👏🏾
clapping,veryDark,👏🏿
handshake,default,🤝
handshake,veryLight,🤝🏻
handshake,light,🤝🏼
handshake,medium,🤝🏽
handshake,dark,🤝🏾
handshake,veryDark,🤝🏿
folded-hands,default,🙏
folded-hands,veryLight,🙏🏻
folded-hands,light,🙏🏼
folded-hands,medium,🙏🏽
folded-hands,dark,🙏🏾
folded-hands,veryDark,🙏🏿
index,default,🫵
index,veryLight,🫵🏻
index,light,🫵🏼
index,medium,🫵🏽
index,dark,🫵🏾
index,veryDark,🫵🏿
